"code";"description"
"CCT0023";"El formato de la fecha de inicio no es correcto. No se acepta la comunicaci�n.                                                                                                                  "
"CCT0024";"El formato de la fecha de t�rmino no es correcto. No se acepta la comunicaci�n.                                                                                                                 "
"CCT0025";"El formato de la fecha de nacimiento no es correcto. No se acepta la comunicaci�n.                                                                                                              "
"CCT0026";"La fecha de inicio no puede superar en tres meses a la de comunicaci�n. No se acepta la comunicaci�n.                                                                                           "
"CCT0027";"La fecha de t�rmino del contrato no puede ser anterior a la fecha de inicio. No se acepta la comunicaci�n.                                                                                      "
"CCT0028";"La fecha de t�rmino del contrato no puede superar en diez a�os a la fecha de inicio. No se acepta la comunicaci�n.                                                                              "
"CCT0029";"La fecha de t�rmino del contrato debe ser mayor o igual a la fecha de comunicaci�n. No se acepta la comunicaci�n.                                                                               "
"CCT0030";"En un contrato inferior a 10 d�as, la fecha de comunicaci�n no puede exceder en diez d�as a la fecha de inicio. No se acepta la comunicaci�n.                                                   "
"CCT0031";"Indicador de Copia B�sica : dato obligatorio. No se acepta la comunicaci�n.                                                                                                                     "
"CCT0032";"Tipo de Firma de Copia B�sica: dato obligatorio cuando el contrato tiene copia b�sica. No se acepta la comunicaci�n.                                                                            "
"CCT0033";"Error en el d�gito de control del Cif de la empresa. No se acepta la comunicaci�n.                                                                                                              "
"CCT0034";"El c�digo de la Escuela Taller no es correcto. No se acepta la comunicaci�n.                                                                                                                    "
"CCT0035";"La nacionalidad del Centro de Trabajo no es correcta. No se acepta la comunicaci�n.                                                                                                             "
"CCT0036";"Municipio del Centro de Trabajo: obligatorio cuando la nacionalidad es espa�ola. No se acepta la comunicaci�n.                                                                                  "
"CCT0037";"El Municipio de Residencia no existe en las tablas. No se acepta la comunicaci�n.                                                                                                               "
"CCT0038";"El c�digo de la nacionalidad no es correcto. No se acepta la comunicaci�n.                                                                                                                      "
"CCT0039";"El valor de la fecha de inicio es anterior a la fecha m�nima de inicio permitida para este tipo de contrato. No se acepta la comunicaci�n.                                                      "
"CCT0040";"El programa de empleo no es correcto. No se acepta la comunicaci�n.                                                                                                                             "
"CCT0042";"Indicador trabajador contratado: obligatorio si se rellena el Empleador. No se acepta la comunicaci�n.                                                                                          "
"CCT0043";"El formato del identificador de la oferta debe ser num�rico. No se acepta la comunicaci�n.                                                                                                      "
"CCT0044";"Identificador de Empleador de Investigaci�n err�neo. No se acepta la comunicaci�n.                                                                                                              "
"CCT0045";"Identificador de Trabajador de Investigacion err�neo. No se acepta la comunicaci�n.                                                                                                             "
"CCT0046";"Indicador de Contrato de Plantilla, s�lo admite los valores `S` � `N`. No se acepta la comunicaci�n.                                                                                            "
"CCT0047";"Campo Sexo es obligatorio. No se acepta la comunicaci�n.                                                                                                                                        "
"CCT0048";"C�digo de ocupaci�n no existe en las tablas. No se acepta la comunicaci�n.                                                                                                                      "
"CCT0049";"C�digo de sexo err�neo. No se acepta la comunicaci�n.                                                                                                                                           "
"CCT0050";"C�digo de Escuela Taller no existe en las tablas. No se acepta la comunicaci�n.                                                                                                                 "
"CCT0051";"C�digo de discapacidad no  existe en las tablas. No se acepta la comunicaci�n.                                                                                                                  "
"CCT0052";"C�digo de Firma de Copia B�sica no existe en las tablas. No se acepta la comunicaci�n.                                                                                                          "
"CCT0054";"El campo Identificador de la Oferta  no es v�lido. No se acepta la comunicaci�n.                                                                                                                "
"CCT0055";"El Municipio del Centro de trabajo no existe en las tablas. No se acepta la comunicaci�n.                                                                                                       "
"CCT0056";"El c�digo de Corporacion Local no existe en las tablas. No se acepta la comunicaci�n.                                                                                                           "
"CCT0057";"El c�digo del Programa de Corporaci�n Local, no existe en las tablas. No se acepta la comunicaci�n.                                                                                             "
"CCT0058";"La discapacidad seleccionada no es v�lida para este tipo de contrato. No se acepta la comunicaci�n.                                                                                             "
"CCT0059";"El campo Ejercicio Presupuestario tiene que ser num�rico. No se acepta la comunicaci�n.                                                                                                         "
"CCT0060";"El campo Actuaci�n debe ser num�rico. No se acepta la comunicaci�n.                                                                                                                             "
"CCT0061";"Los datos de Copia B�sica son obligatorios para este tipo de contrato. No se acepta la comunicaci�n.                                                                                            "
"CCT0062";"Cif/Nif y Raz�n Social de la Empresa Usuaria s�lo se rellenan cuando el contrato no es de plantilla. No se acepta la comunicaci�n.                                                              "
"CCT0063";"La longitud de la cuenta de cotizaci�n no es correcta.                                                                                                                                          "
"CCT0064";"La longitud del campo fecha de nacimiento no es correcta. No se acepta la comunicaci�n.                                                                                                         "
"CCT0065";"La longitud del campo fecha de inicio no es correcta.                                                                                                                                           "
"CCT0066";"La longitud la fecha t�rmino no es correcta.                                                                                                                                                    "
"CCT0067";"Error en el d�gito de control del Cif de la empresa usuaria. No se acepta la comunicaci�n.                                                                                                      "
"CCT0068";"El car�cter de control para el Nif de la empresa usuaria no es correcto. No se acepta la comunicaci�n.                                                                                          "
"CCT0069";"El Tipo de documento identificativo de la empresa usuaria es err�neo. No se acepta la comunicaci�n.                                                                                             "
"CCT0070";"El car�cter de control para el Nif/Nie del trabajador no es correcto. No se acepta la comunicaci�n.                                                                                             "
"CCT0071";"El tipo de documento identificativo del trabajador es err�neo. No se acepta la comunicaci�n.                                                                                                    "
"CCT0072";"Municipio del centro de trabajo sin cumplimentar. No se acepta la comunicaci�n.                                                                                                                 "
"CCT0073";"Cif / Nif  de la empresa usuaria sin cumplimentar. No se acepta la comunicaci�n.                                                                                                                "
"CCT0074";"La Gestor�a no est� autorizada para hacer comunicaciones de la contrataci�n para la empresa con el CIF/NIF especificado. No se acepta la comunicaci�n.                                          "
"CCT0075";"La empresa no puede hacer comunicaciones de la contrataci�n para otra empresa. No se acepta la comunicaci�n.                                                                                    "
"CCT0076";"Raz�n Social de la empresa usuaria sin cumplimentar. No se acepta la comunicaci�n.                                                                                                              "
"CCT0077";"CIF/NIF de la empresa sin cumplimentar.                                                                                                                                                         "
"CCT0078";"La longitud del campo CIF /NIF de la empresa no es correcta.                                                                                                                                    "
"CCT0079";"N�mero de documento identificativo del trabajador sin cumplimentar.                                                                                                                             "
"CCT0080";"La longitud del N�mero de documento identificativo del trabajador no es correcta.                                                                                                               "
"CCT0081";"El campo Nombre debe ser texto. No se acepta la comunicaci�n.                                                                                                                                   "
"CCT0082";"El campo Apellido1 debe ser texto. No se acepta la comunicaci�n.                                                                                                                                "
"CCT0083";"El campo Apellido2 debe ser texto. No se acepta la comunicaci�n.                                                                                                                                "
"CCT0084";"No se permite seleccionar Programas de Empleo si la nacionalidad del centro de trabajo no es Espa�a. No se acepta la comunicaci�n.                                                              "
"CCT0085";"C�digo del Programa de Empleo: dato obligatorio. No se acepta la comunicaci�n.                                                                                                                  "
"CCT0086";"Corporaci�n Local: dato obligatorio. No se acepta la comunicaci�n.                                                                                                                              "
"CCT0087";"Programa: dato obligatorio. No se acepta la comunicaci�n.                                                                                                                                       "
"CCT0088";"Actuaci�n: dato obligatorio. No se acepta la comunicaci�n.                                                                                                                                      "
"CCT0089";"Ejercicio Presupuestario: dato obligatorio. No se acepta la comunicaci�n.                                                                                                                       "
"CCT0090";"Empleador que contrata: dato obligatorio. No se acepta la comunicaci�n.                                                                                                                         "
"CCT0091";"La Cuenta de Cotizaci�n tiene que ser num�rica. No se acepta la comunicaci�n.                                                                                                                   "
"CCT0092";"El c�digo del Municipio del Domicilio tiene que ser num�rico. No se acepta la comunicaci�n.                                                                                                     "
"CCT0093";"El c�digo del Municipio del Centro de Trabajo tiene que ser num�rico. No se acepta la comunicaci�n.                                                                                             "
"CCT0094";"El N�mero de Afiliaci�n SS tiene que ser num�rico. No se acepta la comunicaci�n.                                                                                                                "
"CCT0095";"El Identificador de la Oferta de Trabajo tiene que ser num�rico. No se acepta la comunicaci�n.                                                                                                  "
"CCT0096";"El valor del Ejercicio Presupuestario no es v�lido. No se acepta la comunicaci�n.                                                                                                               "
"CCT0097";"El valor de la Actuaci�n no es v�lido. No se acepta la comunicaci�n.                                                                                                                            "
"CCT0098";"El tipo de contrato especificado no puede acogerse a ning�n programa de empleo.                                                                                                                 "
"CCT0099";"No pueden rellenarse los datos relacionados con Contrato de Investigaci�n para este tipo de contrato.                                                                                           "
"CCT0100";"No pueden rellenarse los datos relacionados con el Programa de Empleo para este tipo de contrato.                                                                                               "
"CCT0101";"No se puede especificar c�digo de ET/CO/TE para este tipo de contrato.                                                                                                                          "
"CCT0102";"No puede rellenarse la fecha fin para este tipo de contrato.                                                                                                                                    "
"CCT0103";"El CIF de la empresa es incorrecto.                                                                                                                                                             "
"CCT0104";"El CIF de la empresa usuaria es incorrecto.                                                                                                                                                     "
"CCT0105";"El NIF de la empresa es incorrecto.                                                                                                                                                             "
"CCT0106";"El NIF de la empresa usuaria es incorrecto.                                                                                                                                                     "
"CCT0107";"El NIF/NIE del trabajador es incorrecto.                                                                                                                                                        "
"CCT0108";"El CIF/NIF de la empresa usuaria est� sin cumplimentar.                                                                                                                                         "
"CCT0109";"La longitud del campo CIF/NIF de la empresa usuaria es incorrecta.                                                                                                                              "
"CCT0110";"Los campos ejercicio presupuestario, corporaci�n local y actuacion, solo se rellenan cuando el programa de empleo es: Convenios INEM con Corporacione                                           "
"CCT0111";"Es obligatorio especificar el municipio de domicilio cuando el pa�s de domicilio es Espa�a.                                                                                                     "
"CCT0112";"El pa�s de domicilio no existe en las tablas.                                                                                                                                                   "
"CCT0113";"No se puede especificar el municipio de domicilio siendo el pa�s de domicilio distinto de Espa�a.                                                                                               "
"CCT0114";"El contrato especificado para esa Fecha de Inicio y causa objeto interinidad, no puede ser de ETT - Puesta a disposicion                                                                        "
"CCT0115";"La causa Objeto de la Interinidad es obligatoria para este tipo de contrato.                                                                                                                    "
"CCT0116";"El c�digo Objeto de la Interinidad no se encuentra en las tablas. No se acepta la comunicaci�n.                                                                                                 "
"CCT0117";"Los datos tipo de Jornada y duraci�n de Jornada son obligatorios para este c�digo de contrato.                                                                                                  "
"CCT0118";"El c�digo de tipo de Jornada no existe en las tablas. No se acepta la comunicaci�n.                                                                                                             "
"CCT0119";"La duraci�n de la jornada es superior al m�ximo de horas permitidas para el tipo de jornada indicada.                                                                                           "
"CCT0120";"Para este codigo de contrato es necesario indicar un porcentaje de jubilacion. No se acepta la comunicacion.                                                                                    "
"CCT0121";"El ejercicio presupuestario debe ser el a�o de mecanizaci�n o anterior. No se acepta la comunicaci�n.                                                                                           "
"CCT0122";"Si el contrato se acoge a Fomento del Empleo, debe seleccionar un colectivo de Fomento de la Contrataci�n Indefinida. No se acepta la comunicaci�n                                              "
"CCT0123";"Para el colectivo de Fomento de la Contraci�n especificado, el contrato debe estar marcado como discapacitado.No se acepta la comunicaci�n.                                                     "
"CCT0124";"El c�digo de Fomento de Contrataci�n especificado no es v�lido para este c�digo de contrato.No se acepta la comunicaci�n.                                                                       "
"CCT0125";"El tipo de trabajador de relevo no existe en las tablas.No se acepta la comunicaci�n.                                                                                                           "
"CCT0126";"Debe seleccionar un tipo de trabajador derelevo.No se acepta la comunicaci�n.                                                                                                                   "
"CCT0127";"Debe indicar el nombre del trabajador que accede a la situaci�n de Jubilaci�n Parcial.No se acepta la comunicaci�n.                                                                             "
"CCT0128";"Debe indicar el primer apellido del trabajador que accede a la situaci�n de Jubilaci�n Parcial.No se acepta la comunicaci�n.                                                                    "
"CCT0129";"Debe indicar el segundo apellido del trabajador que accede a la situaci�n de Jubilaci�n Parcial.No se acepta la comunicaci�n.                                                                   "
"CCT0130";"Las horas de Convenio deben ser superiores a las horas de Jornada. No se acepta la comunicaci�n.                                                                                                "
"CCT0131";"Las horas de Convenio deben ser inferiores al m�ximo establecido para el periodo de tiempo seleccionado. No se acepta la comunicaci�n.                                                          "
"CCT0132";"El campo Sexo es incompatible con el Colectivo de Fomento de Contra. Indefinida. No se acepta la comunicaci�n.                                                                                  "
"CCT0133";"Debe seleccionar un colectivo de bonificaci�n.No se acepta la comunicaci�n.                                                                                                                     "
"CCT0134";"El campo Sexo es incompatible con el colectivo de bonificaci�n seleccionado.No se acepta la comunicaci�n.                                                                                       "
"CCT0135";"Si el contrato es de Centro Esp. Empleo, no se admite ning�n colectivo de Bonificaci�n.No se acepta la comunicaci�n.                                                                            "
"CCT0136";"Si el contrato es de Centro Esp. Empleo y se acoge a Fomento del Empleo no es necesario el colectivo de fomento. No se acepta la comunicaci�n.                                                  "
"CCT0137";"La Fecha de Inicio debe ser igual o superior en 1 d�a a la fecha de t�rmino del contrato o de la �ltima prorroga.No se acepta la comunicaci�n.                                                  "
"CCT0138";"Debe indicar el campo discontinuidad.No se acepta la comunicaci�n.                                                                                                                              "
"CCT0139";"La Fecha de t�rmino no puede ser inugal a la fecha de inicio.No se acepta la comunicaci�n.                                                                                                      "
"CCT0140";"Para este c�digo de contrato no debe seleccionar las horas de formaci�n.No se acepta la comunicaci�n.                                                                                           "
"CCT0141";"Las horas de formaci�n han de ser menores que las horas de jornada del contrato.No se acepta la comunicaci�n.                                                                                   "
"CCT0142";"No Debe indicar el campo discontinuidad.No se acepta la comunicaci�n.                                                                                                                           "
"CCT0143";"Debe seleccionar el campo convenio colectivo.No se acepta la comunicaci�n.                                                                                                                      "
"CCT0144";"Segundo Apellido, es dato obligatorio.No se acepta la comunicaci�n                                                                                                                              "
"CCT0145";"Compruebe n�mero de horas en relaci�n con el Tipo de Jornada                                                                                                                                    "
"CCT0146";"Debe indicar si es Empleador Aut�nomo.                                                                                                                                                          "
"CCT0147";"S�lo puede seleccionar Discapacitado cuando el c�digo de contrataci�n indefinida sea Minusv�lido.No se acepta la comunicaci�n.                                                                  "
"CCT0148";"Debe seleccionar el indicador de Discapacitado.No se acepta la comunicaci�n.                                                                                                                    "
"CCT0149";"Debe seleccionar C�digo de Escuela Taller.No se acepta la comunicaci�n.                                                                                                                         "
"CCT0150";"Ocupaci�n incorrecta para este c�digo de contrato.                                                                                                                                              "
"CCT0151";"Para este c�digo de contrato, no se admite ning�n tipo de colectivo de bonificaci�n.No se acepta la comunicaci�n.                                                                               "
"CCT0152";"Las horas de formaci�n s�lo se indican cuando no se seleccione Formaci�n Te�rica recibida.No se acepta la comunicaci�n.                                                                         "
"CCT0153";"Las horas de Formaci�n no pueden ser superiores a las horas de Jornada.No se acepta la comunicaci�n.                                                                                            "
"CCT0154";"Debe seleccionar horas de Formaci�n o Formaci�n te�rica recibida.                                                                                                                               "
"CCT0155";"Colectivo de Formaci�n s�lo se indica cuando el trabajador es mayor de 21 a�os.                                                                                                                 "
"CCT0156";"El codigo seleccionado de titulaci�n acad�mica no se encuentra en las tablas.                                                                                                                   "
"CCT0157";"Fecha de termino obligatoria para este codigo de contrato. No se acepta la comunicacion.                                                                                                        "
"CCT0158";"No se admite trabajador de investigaci�n para este tipo de contrato. No se acepta la comunicaci�n.                                                                                              "
"CCT0159";"El colectivo de bonificaci�n especificado no existe en las tablas. No se acepta la comunicaci�n.                                                                                                "
"CCT0160";"Si el contrato es de Centros Especiales de Empleo, no se admite el colectivo de Formaci�n. No se acepta la comunicaci�n.                                                                        "
"CCT0161";"La opci�n de mayores de 52 a�os no es compatible con los Centros Especiales de Empleo. No se acepta la comunicaci�n.                                                                            "
"CCT0162";"La opci�n de mayores de 52 a�os no es compatible con el Contrato de Investigaci�n. No se acepta la comunicaci�n.                                                                                "
"CCT0163";"S�lo puede seleccionar un tipo de subsidio por desempleo para mayores de 52 a�os. No se acepta la comunicaci�n.                                                                                 "
"CCT0164";"Debe de seleccionar un tipo de subsidio por desempleo. No se acepta la comunicaci�n.                                                                                                            "
"CCT0165";"Para la causa de Interidad seleccionada el contrato debe estar marcado como Discapacitado. No se acepta la comunicaci�n.                                                                        "
"CCT0166";"El c�digo de Discapacitado s�lo se puede seleccionar cuando la interinidad es Minusv�lidos. No se acepta la comunicaci�n.                                                                       "
"CCT0167";"No se puede registrar una cumplimentaci�n con fecha de inicio anterior en 10 d�as h�biles a la fecha de comunicaci�n. No se acepta la comunicaci�n                                              "
"CCT0168";"No se permite este tipo de actuaci�n para su comunidad aut�noma. No se acepta la comunicaci�n                                                                                                   "
"CCT0169";"Para contratos de mayores de 52 a�os no se admite el colectivo de bonificaci�n seleccionado. No se acepta la comunicaci�n                                                                       "
"CCT0170";"S�lo se permite el a�o actual o un a�o superior. No se acepta la comunicaci�n                                                                                                                   "
"CCT0171";"Debe indicar si el per�odo de actividad es sin fecha cierta. No se acepta la comunicaci�n                                                                                                       "
"CCT0172";"El grupo de cotizaci�n no est� vigente para el a�o en curso. No se acepta la comunicaci�n                                                                                                       "
"CCT0173";"Debe indicar los datos de contrato relevo. No se acepta la comunicaci�n                                                                                                                         "
"CCT0174";"Actuaci�n no v�lida para este c�digo de contrato. No se acepta la comunicaci�n                                                                                                                  "
"CCT0175";"Para este c�digo de contrato es obligatorio seleccionar uno de los programas de empleo. No se acepta la comunicaci�n                                                                            "
"CCT0176";"Este c�digo de contrato no admite horas de convenio. No se acepta la comunicaci�n                                                                                                               "
"CCT0177";"Este c�digo de contrato no admite porcentaje de jubilaci�n parcial. No se acepta la comunicaci�n                                                                                                "
"CCT0178";"Debe indicar el tipo de firma de la copia b�sica si quiere comunicar otros datos.                                                                                                               "
"CCT0179";"C�digo de contrato desactivado por adecuaci�n a la Ley de Fomento de Empleo de 2005.                                                                                                            "
"CCT0180";"Las horas de formaci�n no son correctas. No se acepta la comunicaci�n.                                                                                                                          "
"CCT0181";"La titulaci�n acad�mica no puede ser superior al nivel formativo. No se acepta la comunicaci�n.                                                                                                 "
"CCT0182";"Nivel Acad�mico SIN ESTUDIOS no v�lido para este tipo de contrato. No se acepta la comunicaci�n.                                                                                                "
"CCT0183";"Edad superior a la m�xima laboral permitida. No se acepta la comunicaci�n.                                                                                                                      "
"CCT0184";"La fecha de inicio es un dato obligatorio. No se acepta la comunicaci�n.                                                                                                                        "
"CCT0185";"Este c�digo de contrato no admine convenio colectivo. No se acepta la comunicaci�n.                                                                                                             "
"CCT0186";"La fecha de t�rmino es un dato obligatorio. No se acepta la comunicaci�n.                                                                                                                       "
"CCT0187";"La fecha de inicio es anterior al 4 de Marzo de 2001.                                                                                                                                           "
"CCT0188";"Debe indicar si tiene contrato escrito. No se acepta la comunicaci�n                                                                                                                            "
"CCT0189";"Si el contrato es escrito, debe indicar si es de alta direcci�n. No se acepta la comunicaci�n.                                                                                                  "
"CCT0190";"El nif/nie del trabajador del contrato no puede coincidir con ninguno de los trabajadores de grupo.                                                                                             "
"CCT0191";"S�lo se puede seleccionar una causa de bonificaci�n. No se acepta la comunicaci�n.                                                                                                              "
"CCT0192";"El colectivo de bonificaci�n seleccionado no es compatible con la modalidad del contrato. No se acepta la comunicaci�n.                                                                         "
"CCT0193";"Debe seleccionar si el contrato es escrito. No se acepta la comunicaci�n.                                                                                                                       "
"CCT0194";"Debe seleccionar si el contrato es de alta direcci�n. No se acepta la comunicaci�n.                                                                                                             "
"CCT0195";"La empresa usuaria no puede coincidir con la empresa que contrata. No se acepta la comunicaci�n.                                                                                                "
"CCT0196";"Debe indicar el grupo de cotizaci�n. No se acepta la comunicaci�n.                                                                                                                              "
"CCT0197";"Para este c�digo de contrato no se admite el grupo de cotizaci�n. No se acepta la comunicaci�n.                                                                                                 "
"CCT0198";"El texto de la copia b�sica excede el tama�o m�ximo permitido. No se acepta la comunicaci�n                                                                                                     "
"CCT0199";"Si la empresa es extranjera, no debe indicar el cif/nif/nie de la empresa usuaria. No se acepta la comunicaci�n                                                                                 "
"CCT0200";"Este c�digo de contrato no admite datos de formaci�n. No se acepta la comunicaci�n                                                                                                              "
"CCT0201";"Los datos del expediente de las Corporaciones Locales no pueden cumplimentarse desde el alta de contratos a partir del 01-01-2005.                                                              "
"CCT0202";"Programa de empleo no v�lido para esta fecha de inicio. No se acepta la comunicaci�n.                                                                                                           "
"CCT0203";"Los contratos de inserci�n, c�digos 403 y 503, dejan de estar vigentes desde el 01-01-2005. No se acepta la comunicaci�n.                                                                       "
"CCT0204";"Este c�digo de contrato no admite datos de tipo de jornada. No se acepta la comunicaci�n.                                                                                                       "
"CCT0205";"Este c�digo de contrato no admite datos de interinidad. No se acepta la comunicaci�n.                                                                                                           "
"CCT0206";"Este c�digo de contrato no admite datos de titulacion acad�mica. No se acepta la comunicaci�n.                                                                                                  "
"CCT0207";"No se pueden hacer comunicaciones para el c�digo de contrato seleccionado                                                                                                                       "
"CCT0208";"Actividad no disponible en el siguiente horario:                                                                                                                                                "
"CCT0209";"Formato de identificaci�n de la cumplimentaci�n incorrecto.                                                                                                                                     "
"CCT0210";"El contrato que intenta recuperar o confirmar contiene datos err�neos. Por favor, vuelva a cumplimentarlo.                                                                                      "
"CCT0211";"Especifique las horas de convenio.                                                                                                                                                              "
"CCT0212";"Debe seleccionar de nuevo el c�digo de contrato.                                                                                                                                                "
"CCT0213";"S�lo puede seleccionar Discapacitado cuando el colectivo de formaci�n sea Discapacitado. No se acepta la comunicaci�n.                                                                          "
"CCT0214";"Fecha de t�rmino incompatible con la de inicio de la 1� pr�rroga. No se admite la modificaci�n.                                                                                                 "
